,precision,recall,f1-score,support
0,0.7855227882037533,0.586,0.6712485681557846,500.0
1,0.6698564593301436,0.84,0.7453416149068323,500.0
accuracy,0.713,0.713,0.713,0.713
macro avg,0.7276896237669485,0.713,0.7082950915313084,1000.0
weighted avg,0.7276896237669485,0.713,0.7082950915313083,1000.0
